name,team,games,category,desc.,year,source
T. Doctor,BUF,4.24,PEDs.29,Unnamed: 406,1989.3,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
S. Doctor,BUF.1,4.25,PEDs.30,Unnamed: 412,1989.4,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
M. Douglass,DET.2,4.26,PEDs.31,Unnamed: 418,1989.5,http://www.utsandiego.com/uniontrib/20080921/news_1s21nfl89.html
J. Dunbar,STL.1,4.27,PEDs.32,Unnamed: 424,2013.4,http://www.nfl.com/news/story/0ap1000000229913/article/st-louis-rams-jolonn-dunbar-suspended-four-games
R. Edwards,MIN.2,4.28,PEDs.33,Unnamed: 430,2007.6,http://www.twincities.com/ci_7641964?source=rss
B. Eldridge,STL.2,4.29,PEDs.34,Unnamed: 436,2012.9,http://www.nfl.com/news/story/09000d5d82a4a506/article/brody-eldridge-st-louis-rams-te-suspended-four-games
L. Flowers,DEN.3,4.30,PEDs.35,Unnamed: 442,2004.1,http://sports.espn.go.com/nfl/news/story?id=1585992
E. Gant,CIN.4,4.31,PEDs.36,Unnamed: 448,2010.5,http://blog.azcardinals.com/2010/06/21/gant-suspended-four-games/
D. Graham,HOU.2,4.32,PEDs.37,Unnamed: 454,2002.2,http://www.nytimes.com/2002/12/19/sports/nfl-texans-lineman-suspended.html
L. Grant,FREE.2,4.33,PEDs.38,Unnamed: 460,2013.5,http://www.nfl.com/news/story/0ap1000000161912/article/larry-grant-suspended-four-games-for-violating-nfl-drug-policy
V. Green,SD.1,4.34,PEDs.39,Unnamed: 466,2012.10,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
S. Gregory,NYJ.1,4.35,PEDs.40,Unnamed: 472,2010.6,http://sports.espn.go.com/nfl/news/story?id=5648428
C. Griffin,WAS.4,4.36,PEDs.41,Unnamed: 478,2012.11,http://espn.go.com/nfl/story/_/id/8709862/cedric-griffin-washington-redskins-suspended-four-games
W. Guy,SEA.2,4.37,PEDs.42,Unnamed: 484,2012.12,http://www.nfl.com/news/story/0ap1000000098505/article/winston-guy-of-seahawks-suspended-for-illegal-substances
J. Haden,CLE.2,4.38,PEDs.43,Unnamed: 490,2012.13,http://www.nfl.com/news/story/0ap1000000060490/article/joe-haden-of-cleveland-browns-suspended-four-games
A. Hall,TEN.3,4.39,PEDs.44,Unnamed: 496,2011.1,http://espn.go.com/nfl/story/_/id/6927311/tennessee-titans-ahmard-hall-suspended-4-games-nfl
J. Hanson,PHI.1,4.40,PEDs.45,Unnamed: 502,2009.2,http://sports.espn.go.com/nfl/news/story?id=4645055
J. Hawley,ATL,4.41,PEDs.46,Unnamed: 508,2012.14,http://www.nfl.com/news/story/0ap1000000097773/article/joe-hawley-of-atlanta-falcons-suspended-four-games-by-nfl
K. Henderson,SF,4.42,PEDs.47,Unnamed: 514,1989.6,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
C. Henry,TEN.4,4.43,PEDs.48,Unnamed: 520,2007.7,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
W. Hill,NYG.3,4.44,PEDs.49,Unnamed: 526,2012.15,http://www.nfl.com/news/story/0ap1000000078540/article/will-hill-suspended-by-nfl-for-violating-ped-policy
A. Holmes,OAK.2,4.45,PEDs.50,Unnamed: 532,2013.6,http://www.cbssports.com/nfl/eye-on-football/22915004/raiders-wr-andre-holmes-suspended-for-ped-violation
B. Irvin,DET.3,4.46,PEDs.51,Unnamed: 538,2013.7,http://espn.go.com/nfl/story/_/id/9287069/bruce-irvin-seattle-seahawks-suspended-four-games
A. Jackson,BAL.4,4.47,PEDs.52,Unnamed: 544,2012.16,http://www.nfl.com/news/story/0ap1000000225102/article/ravens-asa-jackson-banned-8-games-for-violating-ped-policy
R. James,ATL.1,4.48,PEDs.53,Unnamed: 550,2010.7,http://sports.espn.go.com/nfl/news/story?id=5364259
M. Jaworski,BUF.2,4.49,PEDs.54,Unnamed: 556,1989.7,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
J. Jenkins,WAS.5,4.50,PEDs.55,Unnamed: 562,2013.8,http://www.nfl.com/news/story/0ap1000000221583/article/redskins-jarvis-jenkins-suspended-4-games-for-peds
T. Jervey,SF.1,4.51,PEDs.56,Unnamed: 568,1999,http://www.sfgate.com/sports/article/49ers-Notebook-Jervey-Suspended-for-Steroid-Use-2901850.php
L. Johnson,PHI.2,4.52,PEDs.57,Unnamed: 574,2014.11,http://www.nfl.com/news/story/0ap2000000367649/article/eagles-lane-johnson-suspended-four-games-for-peds
D. Jordan,MIA.3,4.53,PEDs.58,Unnamed: 580,2014.12,http://www.nfl.com/news/story/0ap2000000363402/article/dion-jordan-suspended-four-games-for-ped-violation
J. Kennedy,NYG.4,4.54,PEDs.59,Unnamed: 586,2011.2,http://espn.go.com/new-york/nfl/story/_/id/7089792/new-york-giants-dt-jimmy-kennedy-suspended-nfl
V. Kirk,STL.3,4.55,PEDs.60,Unnamed: 592,1989.8,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
J. Knott,PHI.3,4.56,PEDs.61,Unnamed: 598,2014.13,http://www.nfl.com/news/story/0ap2000000339592/article/jake-knott-suspended-for-violating-substance-abuse-policy
L. Lawton,OAK.3,4.57,PEDs.62,Unnamed: 604,2009.3,http://sports.espn.go.com/nfl/news/story?id=4771154
M. Lehr,ATL.2,4.58,PEDs.63,Unnamed: 610,2006.4,http://sports.espn.go.com/nfl/news/story?id=2629991
T. Lewis,WAS.6,4.59,PEDs.64,Unnamed: 616,2011.3,http://www.washingtonpost.com/blogs/football-insider/post/report-redskins-trent-williams-and-fred-davis-to-be-suspended-for-four-games/2011/12/04/gIQAZJ6tSO_blog.html
D. Love,MIN.3,4.60,PEDs.65,Unnamed: 622,2013.9,http://www.cbssports.com/nfl/eye-on-football/22974075/vikings-ol-demarcus-love-suspended-for-ped-violation
D. Lutui,TEN.5,4.61,PEDs.66,Unnamed: 628,2013.10,http://www.nfl.com/news/story/0ap1000000150698/article/deuce-lutui-suspended-by-nfl-for-drug-violation
A. Madise,DEN.4,4.62,PEDs.67,Unnamed: 634,2005.2,http://sports.espn.go.com/nfl/news/story?id=1974527
R. Mathis,IND.3,4.63,PEDs.68,Unnamed: 640,2014.14,http://www.nfl.com/news/story/0ap2000000350988/article/colts-robert-mathis-suspended-four-games-for-ped
G. McRath,TEN.6,4.64,PEDs.69,Unnamed: 646,2010.8,http://sports.espn.go.com/nfl/news/story?id=5285379
S. Merriman,SD.2,4.65,PEDs.70,Unnamed: 652,2006.5,http://sports.espn.go.com/nfl/news/story?id=2635475
G. Miller,CHI.1,4.66,PEDs.71,Unnamed: 658,2013.11,http://www.nfl.com/news/story/0ap1000000209177/article/chicago-bears-gabe-miller-evan-rodriguez-apologize
J. Miller,CHI.2,4.67,PEDs.72,Unnamed: 664,1999.1,http://www.nytimes.com/1999/12/02/sports/pro-football-bears-lose-miller-to-steroid-suspension.html
N. Miller,STL.4,4.68,PEDs.73,Unnamed: 670,2012.17,http://profootball.scout.com/story/1159088-nick-miller-suspended-four-games
D. Moch,CIN.5,4.69,PEDs.74,Unnamed: 676,2012.18,http://espn.go.com/nfl/story/_/id/8048956/dontay-moch-cincinnati-bengals-suspended-four-games-peds
J. Moffitt,CLE.3,4.70,PEDs.75,Unnamed: 682,2011.4,http://seattletimes.com/html/seahawksblog/2016949836_seahawksrookiejohnmoffittsuspendedforperformanceenhancingdrugs.html
E. Moore,NYG.5,4.71,PEDs.76,Unnamed: 688,1993,http://www.nytimes.com/1993/07/30/sports/pro-football-giants-moore-faces-ban-by-nfl.html
S. Morris,MIA.4,4.72,PEDs.77,Unnamed: 694,2006.6,http://sports.espn.go.com/nfl/news/story?id=2568282
M. Neal,GB.4,4.73,PEDs.78,Unnamed: 700,2012.19,http://espn.go.com/nfl/story/_/id/7682945/nfl-suspends-mike-neal-green-bay-packers-1st-four-games
S. Nealy,MIN.4,4.74,PEDs.79,Unnamed: 706,2014.15,http://espn.go.com/nfl/story/_/id/11204290/spencer-nealy-minnesota-vikings-suspended-four-games-ped-use
A. Neblett,CAR.2,4.75,PEDs.80,Unnamed: 712,2012.20,http://www.nfl.com/news/story/09000d5d82aa5c20/article/andre-neblett-suspended-four-games-for-ped-violation
K. Newman,ATL.3,4.76,PEDs.81,Unnamed: 718,2003.3,http://sports.espn.go.com/espn/wire?id=1606334
A. Odom,CIN.6,4.77,PEDs.82,Unnamed: 724,2010.9,http://sports.espn.go.com/nfl/news/story?id=5687593
C. Pace,NYJ.2,4.78,PEDs.83,Unnamed: 730,2009.4,http://sports.espn.go.com/nfl/news/story?id=4303126
J. Peppers,CAR.3,4.79,PEDs.84,Unnamed: 736,2002.3,http://www.nytimes.com/2002/12/04/sports/pro-football-peppers-to-serve-four-game-suspension.html
K. Peterson,DEN.5,4.80,PEDs.85,Unnamed: 742,2007.8,http://www.denverpost.com/ci_6314165
L. Petitgout,TB.1,4.81,PEDs.86,Unnamed: 748,2008.3,http://tbo.com/sports/sports/2008/aug/20/sp-petitgout-violated-nfl-steroids-policy-ar-136563/
A. Pettis,STL.5,4.82,PEDs.87,Unnamed: 754,2014.16,http://www.foxsports.com/nfl/story/St-Louis-Rams-wide-receiver-Austin-Pettis-suspended-four-games-for-NFL-drug-policy-violation-122111?gt1=39002
A. Pinnock,SD.3,4.83,PEDs.88,Unnamed: 760,2004.2,http://www.utsandiego.com/news/2004/Nov/10/chargers-fullback-andrew-pinnock-suspended-for/
R. Putzier,SF.2,4.84,PEDs.89,Unnamed: 766,1989.9,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
R. Razzano,TB.2,4.85,PEDs.90,Unnamed: 772,2005.3,http://sports.espn.go.com/espn/wire?section=nfl&id=2163692
L. Reynolds,JAX.4,4.86,PEDs.91,Unnamed: 778,2013.12,http://espn.go.com/nfl/story/_/id/9967595/laroy-reynolds-jacksonville-jaguars-suspended-4-games-positive-test
G. Robinson,ARI.3,4.87,PEDs.92,Unnamed: 784,2012.21,http://profootballtalk.nbcsports.com/2012/09/22/gerell-robinson-gets-four-game-suspension/
S. Rogers,DET.4,4.88,PEDs.93,Unnamed: 790,2006.7,http://sports.espn.go.com/nfl/news/story?id=2630061
T. Sash,NYG.6,4.89,PEDs.94,Unnamed: 796,2012.22,http://espn.go.com/new-york/nfl/story/_/id/8219721/tyler-sash-new-york-giants-suspended-four-games
T. Sauerbrun,DEN.6,4.90,PEDs.95,Unnamed: 802,2006.8,http://sports.espn.go.com/nfl/news/story?id=2512355
Q. Saulsberry,DEN.7,4.91,PEDs.96,Unnamed: 808,2012.23,http://www.nfl.com/news/story/0ap1000000217875/article/quentin-saulsberry-of-denver-broncos-had-dui-arrest
O. Scandrick,DAL.1,4.92,PEDs.97,MDMA,2014.17,http://espn.go.com/dallas/nfl/story/_/id/11341354/orlando-scandrick-dallas-cowboys-suspended-four-games-performance-enhancing-drugs
S. Shanle,STL.6,4.93,PEDs.98,Unnamed: 820,2003.4,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
D. Shelton,CHI.3,4.94,PEDs.99,Unnamed: 826,2002.4,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
T.J. Slaughter,JAX.5,4.95,PEDs.100,Unnamed: 832,2002.5,http://articles.orlandosentinel.com/2002-09-07/sports/0209070474_1_slaughter-coleman-tennessee-titans
R. Solt,PHI.4,4.96,PEDs.101,Unnamed: 838,1989.10,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
B. Spikes,NE.2,4.97,PEDs.102,Unnamed: 844,2010.10,http://sports.espn.go.com/boston/nfl/news/story?id=5906897
S. Springs,SEA.3,4.98,PEDs.103,Unnamed: 850,2001.2,http://articles.philly.com/2001-11-28/sports/25320203_1_seahawks-springs-lamar-chapman-browns-president-carmen-policy
J. Steed,PIT,4.99,PEDs.104,Unnamed: 856,1995,http://articles.chicagotribune.com/1995-10-24/sports/9510240320_1_nose-tackle-joel-steed-bernard-williams-nfl
M. Stevens,PHI.5,4.100,PEDs.105,Unnamed: 862,1997.1,http://articles.philly.com/2014-07-02/sports/51005838_1_lane-johnson-groveton-linebacker-jake-knott
M. Stroud,JAX.6,4.101,PEDs.106,Unnamed: 868,2007.9,http://sports.espn.go.com/nfl/news/story?id=3088185
A. Talib,TB.3,4.102,PEDs.107,Unnamed: 874,2012.24,http://www.nfl.com/news/story/0ap1000000079902/article/aqib-talib-of-buccaneers-suspended-four-games-for-adderall-use
H. Taylor,CHI.4,4.103,PEDs.108,Unnamed: 880,1999.2,http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html
H. Thomas,NO,4.104,PEDs.109,Unnamed: 886,2006.9,http://sports.espn.go.com/nfl/news/story?id=2687451
J. Thomas,IND.4,4.105,PEDs.110,Unnamed: 892,2011.5,http://espn.go.com/nfl/story/_/id/7062953/indianapolis-colts-guard-jaime-thomas-banned-4-games-violating-steroid-policy
