id,candidate,song,artist,sentiment,theme,album_release_date,line,url
104,Hillary Clinton.87,Nightmares of the Bottom (Triggamix),Trey Songz,negative.34,sexual.2,2011.5,She think she's my bottom bitch; Hillary Rodham-ish,http://genius.com/Trey-songz-nightmares-of-the-bottom-triggamix-lyrics
105,Hillary Clinton.88,Rich the GOAT,Rich The Kid,positive.16,political.25,2016.3,"Hillary hit the dab, Ima vote",http://genius.com/Rich-the-kid-rich-the-goat-lyrics
106,Hillary Clinton.89,I Shoulda Tried Harder,Wax,neutral.52,personal.29,2013.8,"Bill Clinton, Hillary Clinton, I ain't talking to ya'll, nope",http://genius.com/Wax-i-shoulda-tried-harder-lyrics
107,Hillary Clinton.90,Girls Got a Gun,Yo-Yo,negative.35,personal.30,1993.1,Fuck Bill Clinton and Hillary,http://genius.com/Yo-yo-girls-got-a-gun-lyrics
108,Hillary Clinton.91,For Real,Yung God,neutral.53,personal.31,2014.4,"Bang, Heavy artillery young Bill Clint / Make your girl go Hillary boy",http://genius.com/Yung-god-for-real-lyrics
109,Bernie Sanders,Valleys,Lupe Fiasco,positive.17,political.26,2015.7,"Uh, Bernie Sanders need a Nike deal",http://genius.com/Lupe-fiasco-valleys-lyrics
110,Bernie Sanders.1,The Ancap Rap,Young Rippa,negative.36,political.27,2015.8,Bernie sanders is an economic illiterate,http://genius.com/Young-rippa-the-ancap-rap-lyrics
111,Donald Trump,Johnny Ryall,Beastie Boys,neutral.54,N/A.41,1989,Donald Trump and Donald Tramp living in the men's Shelter,http://genius.com/Beastie-boys-johnny-ryall-lyrics
112,Donald Trump.1,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,positive.18,money.5,1995,"Given the power punch, soon to be paid like Donald Trump",http://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics
113,Donald Trump.2,My Word Is Bond,Donald D,positive.19,N/A.42,1989.1,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy",http://genius.com/Ice-t-my-word-is-bond-lyrics
114,Donald Trump.3,50/Banks,50 Cent,positive.20,money.6,2002.1,"We can talk Trump talk, real estate, stocks, and bonds",http://genius.com/50-cent-50-banks-lyrics
115,Donald Trump.4,Skill Trade,Nice,positive.21,money.7,1990,I'm not rich like Donald Trump,http://genius.com/Nice-skill-trade-lyrics
